iter	Passed	Remaining
446	1122	1388
447	1123	1384
448	1125	1381
449	1127	1378
450	1129	1374
451	1131	1371
452	1133	1368
453	1135	1365
454	1137	1362
455	1139	1359
456	1141	1355
457	1142	1352
458	1144	1349
459	1146	1345
460	1148	1342
461	1150	1340
462	1154	1339
463	1157	1336
464	1160	1334
465	1162	1332
466	1165	1330
467	1169	1329
468	1172	1327
469	1175	1325
470	1177	1323
471	1181	1321
472	1185	1321
473	1188	1318
474	1191	1316
475	1194	1314
476	1198	1314
477	1202	1313
478	1205	1311
479	1207	1308
480	1209	1305
481	1211	1301
482	1213	1298
483	1215	1295
484	1218	1293
485	1220	1290
486	1222	1287
487	1224	1284
488	1226	1281
489	1227	1277
490	1229	1274
491	1232	1272
492	1234	1269
493	1235	1265
494	1237	1262
495	1239	1259
496	1242	1257
497	1243	1253
498	1245	1250
499	1248	1248
500	1250	1245
501	1252	1242
502	1253	1238
503	1255	1235
504	1257	1232
505	1259	1229
506	1261	1226
507	1263	1223
508	1265	1220
509	1267	1217
510	1269	1214
511	1271	1211
512	1273	1208
513	1274	1205
514	1276	1202
515	1278	1199
516	1281	1196
517	1283	1194
518	1285	1191
519	1287	1188
520	1289	1185
521	1291	1182
522	1293	1179
523	1295	1176
524	1297	1173
525	1299	1170
526	1301	1167
527	1302	1164
528	1304	1161
529	1306	1158
530	1308	1155
531	1310	1152
532	1312	1150
533	1314	1147
534	1316	1144
535	1318	1141
536	1320	1138
537	1322	1135
538	1323	1132
539	1325	1129
540	1328	1126
541	1330	1123
542	1331	1120
543	1333	1118
544	1335	1115
545	1337	1112
546	1339	1109
547	1341	1106
548	1343	1103
549	1346	1101
550	1348	1098
551	1349	1095
552	1351	1092
553	1354	1090
554	1356	1087
555	1358	1084
556	1361	1082
557	1362	1079
558	1364	1076
559	1366	1073
560	1368	1071
561	1370	1068
562	1372	1065
563	1374	1062
564	1377	1060
565	1380	1058
566	1382	1055
567	1384	1052
568	1386	1050
569	1388	1047
570	1390	1044
571	1393	1042
572	1395	1040
573	1397	1037
574	1399	1034
575	1401	1031
576	1403	1029
577	1405	1026
578	1408	1023
579	1410	1021
580	1412	1018
581	1414	1016
582	1416	1013
583	1418	1010
584	1420	1007
585	1422	1005
586	1425	1002
587	1427	999
588	1428	997
589	1430	994
590	1432	991
591	1434	988
592	1436	986
593	1438	983
594	1441	981
595	1443	978
596	1445	975
597	1447	972
598	1449	970
599	1451	967
600	1452	964
601	1454	961
602	1457	959
603	1459	956
604	1461	953
605	1462	951
606	1464	948
607	1466	945
608	1468	942
609	1470	940
610	1473	937
611	1475	935
612	1477	932
613	1479	930
614	1481	927
615	1483	924
616	1485	922
617	1487	919
618	1490	917
619	1492	914
620	1494	912
621	1496	909
622	1498	906
623	1500	904
624	1502	901
625	1505	899
626	1507	896
627	1509	894
628	1511	891
629	1513	888
630	1515	886
631	1517	883
632	1519	880
633	1521	878
634	1523	875
635	1525	873
636	1527	870
637	1529	868
638	1531	865
639	1533	862
640	1535	860
641	1540	858
642	1546	858
643	1555	859
644	1559	858
645	1562	856
646	1565	854
647	1571	853
648	1573	851
649	1575	848
650	1577	845
651	1579	843
652	1581	840
653	1584	838
654	1586	835
655	1589	833
656	1591	831
657	1594	828
658	1596	825
659	1598	823
660	1600	820
661	1602	818
662	1604	815
663	1606	812
664	1608	810
665	1610	807
666	1612	805
667	1614	802
668	1617	800
669	1619	797
670	1621	794
671	1622	792
672	1624	789
673	1626	786
674	1628	784
675	1630	781
676	1633	779
677	1635	776
678	1637	774
679	1639	771
680	1641	768
681	1643	766
682	1645	763
683	1647	761
684	1650	758
685	1651	756
686	1653	753
687	1655	750
688	1657	748
689	1659	745
690	1661	742
691	1663	740
692	1666	738
693	1667	735
694	1669	732
695	1671	730
696	1673	727
697	1675	724
698	1676	722
699	1678	719
700	1681	717
701	1683	714
702	1685	712
703	1687	709
704	1689	706
705	1691	704
706	1693	701
707	1695	699
708	1697	696
709	1699	694
710	1701	691
711	1703	689
712	1705	686
713	1707	683
714	1708	681
715	1710	678
716	1713	676
717	1715	673
718	1716	671
719	1718	668
720	1720	665
721	1722	663
722	1724	660
723	1726	658
724	1728	655
725	1730	653
726	1732	650
727	1734	647
728	1736	645
729	1738	642
730	1739	640
731	1741	637
732	1743	635
733	1746	632
734	1747	630
735	1749	627
736	1751	625
737	1753	622
738	1755	619
739	1757	617
740	1758	614
741	1761	612
742	1763	609
743	1765	607
744	1766	604
745	1768	602
746	1771	599
747	1773	597
748	1775	594
749	1778	592
750	1780	590
751	1781	587
752	1784	585
753	1787	583
754	1790	581
755	1800	581
756	1803	578
757	1806	576
758	1809	574
759	1812	572
760	1814	569
761	1817	567
762	1820	565
763	1822	563
764	1826	560
765	1828	558
766	1831	556
767	1834	554
768	1836	551
769	1838	549
770	1841	546
771	1843	544
772	1844	541
773	1846	539
774	1848	536
775	1850	534
776	1852	531
777	1854	529
778	1855	526
779	1858	524
780	1860	521
781	1861	519
782	1863	516
783	1865	514
784	1867	511
785	1869	508
786	1871	506
787	1874	504
788	1876	501
789	1877	499
790	1879	496
791	1881	494
792	1883	491
793	1885	489
794	1887	486
795	1889	484
796	1892	481
797	1894	479
798	1896	477
799	1898	474
800	1899	472
801	1901	469
802	1903	467
803	1906	464
804	1908	462
805	1910	459
806	1911	457
807	1913	454
808	1915	452
809	1917	449
810	1919	447
811	1922	444
812	1924	442
813	1926	440
814	1928	437
815	1929	435
816	1931	432
817	1933	430
818	1935	427
819	1939	425
820	1941	423
821	1943	420
822	1944	418
823	1946	415
824	1948	413
825	1950	410
826	1952	408
827	1954	406
828	1956	403
829	1958	401
830	1960	398
831	1962	396
832	1963	393
833	1966	391
834	1968	388
835	1970	386
836	1972	384
837	1974	381
838	1976	379
839	1978	376
840	1980	374
841	1982	372
842	1985	369
843	1988	367
844	1990	365
845	1992	362
846	1994	360
847	1995	357
848	1997	355
849	1999	352
850	2002	350
851	2004	348
852	2006	345
853	2007	343
854	2009	340
855	2011	338
856	2013	335
857	2015	333
858	2018	331
859	2020	328
860	2021	326
861	2023	323
862	2025	321
863	2027	319
864	2029	316
865	2032	314
866	2034	312
867	2036	309
868	2038	307
869	2039	304
870	2041	302
871	2043	299
872	2045	297
873	2047	295
874	2049	292
875	2051	290
876	2053	288
877	2055	285
878	2057	283
879	2059	280
880	2061	278
881	2063	276
882	2065	273
883	2067	271
884	2069	268
885	2071	266
886	2073	264
887	2074	261
888	2076	259
889	2078	256
890	2080	254
891	2082	252
892	2084	249
893	2086	247
894	2088	245
895	2090	242
896	2092	240
897	2094	237
898	2095	235
899	2098	233
900	2100	230
901	2102	228
902	2104	226
903	2106	223
904	2108	221
905	2110	218
906	2112	216
907	2115	214
908	2116	211
909	2118	209
910	2120	207
911	2122	204
912	2124	202
913	2126	200
914	2128	197
915	2130	195
916	2132	193
917	2134	190
918	2136	188
919	2138	185
920	2139	183
921	2141	181
922	2143	178
923	2146	176
924	2148	174
925	2149	171
926	2151	169
927	2153	167
928	2155	164
929	2157	162
930	2159	160
931	2161	157
932	2163	155
933	2165	153
934	2167	150
935	2169	148
936	2171	146
937	2173	143
938	2175	141
939	2177	139
940	2180	136
941	2182	134
942	2184	132
943	2186	129
944	2188	127
945	2190	125
946	2192	122
947	2194	120
948	2197	118
949	2199	115
950	2201	113
951	2203	111
952	2205	108
953	2207	106
954	2209	104
955	2211	101
956	2213	99
957	2215	97
958	2216	94
959	2218	92
960	2220	90
961	2222	87
962	2224	85
963	2226	83
964	2228	80
965	2230	78
966	2232	76
967	2234	73
968	2236	71
969	2237	69
970	2239	66
971	2242	64
972	2244	62
973	2246	59
974	2248	57
975	2250	55
976	2252	53
977	2254	50
978	2255	48
979	2258	46
980	2260	43
981	2262	41
982	2263	39
983	2265	36
984	2267	34
985	2269	32
986	2271	29
987	2273	27
988	2275	25
989	2277	23
990	2279	20
991	2281	18
992	2283	16
993	2285	13
994	2287	11
995	2290	9
996	2292	6
997	2294	4
998	2296	2
999	2298	0
